competition_id,name
979251b8-e180-4f59-8161-30e16f5760fd,Aylesbury Dux Masters
979251b8-e180-4f59-8161-30e16f5760fd,Aylesbury Dux Rebels
979251b8-e180-4f59-8161-30e16f5760fd,Birchwood Braves
979251b8-e180-4f59-8161-30e16f5760fd,Cranfield Cranes
979251b8-e180-4f59-8161-30e16f5760fd,Enfield Mercenaries
979251b8-e180-4f59-8161-30e16f5760fd,Hatfield Magic
979251b8-e180-4f59-8161-30e16f5760fd,Hemel Wolves 2
979251b8-e180-4f59-8161-30e16f5760fd,Herts Heat
979251b8-e180-4f59-8161-30e16f5760fd,North Herts Knights 2
979251b8-e180-4f59-8161-30e16f5760fd,Oaklands Vets
979251b8-e180-4f59-8161-30e16f5760fd,Ravens
979251b8-e180-4f59-8161-30e16f5760fd,Watford Hongkongers
979251b8-e180-4f59-8161-30e16f5760fd,West Herts Warriors
94486fc0-3a76-4d3a-b154-1a1a173b391e,Amersham Comets
94486fc0-3a76-4d3a-b154-1a1a173b391e,Aylesbury Dux Elite
94486fc0-3a76-4d3a-b154-1a1a173b391e,Bucks Hornets
94486fc0-3a76-4d3a-b154-1a1a173b391e,Harlow Hawks
94486fc0-3a76-4d3a-b154-1a1a173b391e,Hemel Wolves 1
94486fc0-3a76-4d3a-b154-1a1a173b391e,Herts Stags
94486fc0-3a76-4d3a-b154-1a1a173b391e,Luton
94486fc0-3a76-4d3a-b154-1a1a173b391e,Michaelians
94486fc0-3a76-4d3a-b154-1a1a173b391e,North Herts Knights 1
94486fc0-3a76-4d3a-b154-1a1a173b391e,Oaklands Wolves Coaches
94486fc0-3a76-4d3a-b154-1a1a173b391e,Stevenage Royals
